company,job_id,job_title,department,location,url,post_date,scrape_date
Airbnb,7113677,"Android Engineer, DLS Foundation",Engineering,United States,https://careers.airbnb.com/positions/7113677?gh_jid=7113677,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6681588,"Associate Principal, Control Testing",,"Gurugram, India",https://careers.airbnb.com/positions/6681588?gh_jid=6681588,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7155307,"Associate Principal, Marketing Strategic Finance & Analytics",Marketing,United States ,https://careers.airbnb.com/positions/7155307?gh_jid=7155307,2025-08-11T11:19:15-04:00,22-08-2025
Airbnb,7125775,Communications Operations Lead,Marketing,United States ,https://careers.airbnb.com/positions/7125775?gh_jid=7125775,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7132941,Connectivity Partner Lead ,Business Development,United States ,https://careers.airbnb.com/positions/7132941?gh_jid=7132941,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7075284,Consumer Communications Manager Italy & SEE,Marketing,"Milan, Italy",https://careers.airbnb.com/positions/7075284?gh_jid=7075284,2025-08-13T06:26:30-04:00,22-08-2025
Airbnb,6740684,"Consumer Insights Lead, China",,China,https://careers.airbnb.com/positions/6740684?gh_jid=6740684,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7154276,"Corporate Communications Manager, UK&I",Marketing,"London, United Kingdom",https://careers.airbnb.com/positions/7154276?gh_jid=7154276,2025-08-12T05:32:41-04:00,22-08-2025
Airbnb,7182697,Customer Support Specialist,Customer Support,"Gurgaon, India",https://careers.airbnb.com/positions/7182697?gh_jid=7182697,2025-08-22T02:44:53-04:00,22-08-2025
Airbnb,6973596,Executive Business Partner ,Business Development,"San Francisco, United States ",https://careers.airbnb.com/positions/6973596?gh_jid=6973596,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7132194,"Full-Stack Software Engineer, Payments Payouts",Engineering,United States,https://careers.airbnb.com/positions/7132194?gh_jid=7132194,2025-08-12T18:34:49-04:00,22-08-2025
